Report generated on: 12-29-2022 11:25:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,total energy production (quad Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.44-1-BMU-QBTU.A,        Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.44-1-BTN-QBTU.A,        Bhutan,6.31575E-05,7.46639E-05,8.57884E-05,8.698E-05,9.01551E-05,9.02442E-05,0.00314707,0.012199748,0.015815858,0.015987161,0.016072285,0.016297826,0.016641287,0.017298674,0.018165546,0.018735639,0.020211298,0.0194834,0.019203871,0.019372232,0.019556572,0.02106905,0.023373022,0.026432918,0.024571186,0.027611969,0.04589465,0.065612413,0.069292377,0.068920167,0.072236419,0.069409698,0.065823148,0.073142871,0.06935489,0.073467189,0.074701868,0.073175883,0.065828474,0.082777394,0.08113648,0.0820511
INTL.44-1-BOL-QBTU.A,        Bolivia,0.147923864,0.135752001,0.151571936,0.150403302,0.15659408,0.151089121,0.14833049,0.147817516,0.157697804,0.168630895,0.170491545,0.168954089,0.177823494,0.170836895,0.177234074,0.197852273,0.201123193,0.204559443,0.211773594,0.185290474,0.216187883,0.276794892,0.321053476,0.362861845,0.50475299,0.590867744,0.620261717,0.656345123,0.657705218,0.572271956,0.638666778,0.692626553,0.788186614,0.898546668,0.922833027,0.90792728,0.870928625,0.84877656,0.800851506,0.719156588,0.68805779,0.716353753
INTL.44-1-BIH-QBTU.A,        Bosnia and Herzegovina,--,--,--,--,--,--,--,--,--,--,--,--,0.057448218,0.043002952,0.05562087,0.092499839,0.077279015,0.126125665,0.148000569,0.154196413,0.159303223,0.162495947,0.168675058,0.149105477,0.141051806,0.142973545,0.142992059,0.128080291,0.145501183,0.15749365,0.170219605,0.145183408,0.140786995,0.158810535,0.146538416,0.140223655,0.145890683,0.139109216,0.163121808,0.153094878,0.135655114,0.161487699
INTL.44-1-BWA-QBTU.A,        Botswana,0.008262057,0.008484744,0.009241913,0.008796519,0.00875198,0.009731845,0.010912138,0.010845329,0.013562228,0.01476479,0.017682117,0.01745942,0.020064972,0.019820005,0.020064972,0.020265399,0.016212319,0.017281263,0.020577174,0.016011892,0.020933489,0.020376747,0.021222994,0.018327937,0.020287668,0.021935624,0.021423421,0.018439286,0.020265399,0.016435016,0.022002433,0.017548499,0.032768199,0.033334507,0.038240847,0.046562169,0.0419666,0.049654188,0.048447799,0.047231633,0.041991759,0.044392707
INTL.44-1-BRA-QBTU.A,        Brazil,1.980660506,2.084969164,2.340262553,2.707373625,3.286699969,3.639238932,3.639593303,3.703156612,3.797899304,3.992620294,4.031686115,4.206990546,4.23880883,4.358548253,4.55808984,4.770609839,5.16653927,5.427393641,5.811255066,6.190719324,6.621392963,6.429003138,7.000481783,7.357246054,7.487147653,8.042588736,8.420774858,8.846278089,9.221385882,9.531708931,10.15203507,10.50866476,10.38847352,10.33472836,10.84848416,11.19073842,11.62629815,11.96806948,12.17378338,12.75248874,12.11278411,11.87543251
INTL.44-1-VGB-QBTU.A,        British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08389E-05,1.32235E-05,1.29513E-05,1.29853E-05,1.29431E-05,1.4519E-05,1.43835E-05,1.43539E-05,1.4184E-05,1.3874E-05,1.36683E-05,1.42628E-05
INTL.44-1-BRN-QBTU.A,        Brunei,0.94578305,0.806450125,0.764114125,0.789742125,0.73602445,0.7103194,0.7357214,0.68956359,0.681277156,0.671717881,0.72360456,0.680758308,0.704077725,0.712036547,0.722953031,0.750604144,0.727049648,0.74138825,0.70270485,0.77503907,0.816251017,0.836791428,0.792873391,0.828074585,0.850550282,0.863159666,0.972458838,0.863490086,0.827259426,0.730809991,0.751849818,0.814514614,0.770139008,0.722986826,0.671080129,0.708241132,0.681324547,0.706132564,0.699029034,0.727502215,0.691819615,0.644364422
INTL.44-1-BGR-QBTU.A,        Bulgaria,0.323726039,0.346534535,0.377162949,0.39851169,0.412146624,0.391548685,0.412726871,0.42920315,0.44100423,0.438987506,0.398255943,0.362886374,0.357489105,0.373152364,0.380477963,0.423201234,0.446817295,0.418849043,0.420941127,0.372523906,0.404245787,0.406250886,0.428673258,0.399528001,0.402100434,0.52068239,0.439570054,0.390581874,0.398565602,0.385460157,0.422355558,0.479948901,0.462863378,0.425557186,0.459587042,0.492856445,0.449672131,0.463893071,0.463624626,0.43443392,0.389710765,0.45537389
INTL.44-1-BFA-QBTU.A,        Burkina Faso,0,0,0,0,0,0,0,0,0,0,0.000093618,0.000135668,0.00020684,0.000484523,0.000742752,0.000969328,0.00117876,0.001174495,0.000795366,0.001257798,0.000989497,0.000547649,0.000651072,0.000972,0.001006047,0.000994581,0.000792141,0.001090235,0.001326082,0.001278306,0.001190232,0.00087444,0.001008696,0.001106756,0.00096051,0.000987814,0.00143096,0.001455654,0.002066608,0.00190567,0.001859876,0.002054882
